verbs,body parts,nouns,adverbs,places,adjectives,celebs
accept,abdomen,antelopes,angrily,Argentina,authorized,Marilyn Monroe
add,Adam's apple,apples,annually,Armenia,automatic,Abraham Lincoln
admire,ankle,arms,anxiously,Australia,average,Mother Teresa
admit,anus,armchairs,arrogantly,Austria,aware,John F. Kennedy
advise,appendix,arrows,awkwardly,Azerbaijan,awesome,Martin Luther King
bless,artery,backs,beautifully,Bangladesh,babyish,Bill Gates
blind,back,backbones,certainly,Barbados,bad,Charles Darwin
borrow,belly,baskets,clearly,Belgium,bare,Albert Einstein
carry,belly-button,basketballs,cleverly,Belize,basic,Paul McCartney
carve,biceps,calves,curiously,Benin,constant,Plato
cause,bladder,calls,daily,Cambodia,content,Queen Elizabeth II
challenge,blood,camels,daintily,Cameroon,cool,Queen Victoria
charge,brains,chimpanzees,deceivingly,CapeVerde,coordinated,Vincent Van Gogh
chase,breast,chins,easily,Central African Rep,corny,Franklin D. Roosevelt
check,butt-cheek,crayons,energetically,Chile,courageous,Kylie Minogue
dam,calf,creams,enormously,China,courteous,Malala Yousafzai
damage,capillary,creeks,enthusiastically,Colombia,crafty,Stephen King
delight,cell,crickets,fairly,Denmark,crazy,BTS
deliver,cervix,crocodiles,faithfully,Djibouti,damaged,Selena Gomez
earn,cheek,crops,famously,Dominica,damp,Kylie Jenner
embarrass,chin,crowds,fortunately,EastTimor,darling,Cristiano Ronaldo
employ,cranium,crowns,frankly,Ecuador,dark,Ellen DeGeneres
empty,cuticle,cucumbers,frantically,Egypt,deserted,Ariana Grande
end,skin,cupboards,frenetically,Equatorial Guinea,devoted,Ed Sheeran
enjoy,ear,curtains,frightfully,Eritrea,expensive,Billie Eilish
enter,eardrum,curves,fully,Estonia,extroverted,Simon Cowell
entertain,elbow,cushions,furiously,Ethiopia,extra-large,Drake
fade,esophagus,cyclones,generally,Fiji,extra-small,Howard Stern
fail,eye,dads,generously,Finland,fabulous,Kim Kardashian
fasten,eyelash,daisies,gladly,Gabon,famous,Taylor Swift
fax,eyelid,dances,gleefully,Gambia,far,Shawn Mendes
fear,face,daughters,gracefully,Georgia,fast,Camila Cabello
fence,finger,days,gratefully,Germany,fat,Scarlett Johansson
fetch,fingernail,deeds,greatly,Ghana,fatherly,Emma Stone
file,fist,denims,greedily,Greece,feisty,Anne Hathaway
greet,forearm,deserts,hastily,Guatemala,female,Natalie Portman
hand,gallbladder,detectives,joshingly,Guyana,hairy,Jennifer Aniston
hang,gland,dews,joyfully,Haiti,handsome,Emma Watson
happen,groin,diamonds,joyously,Honduras,handy,Jennifer Lawrence
harass,gum,dictionaries,jovially,Hungary,happy,Beyonce
ignore,hairdo,dinosaurs,judgmentally,India,harmful,Rihanna
imagine,hand,diets,justly,Indonesia,harmless,Adele
improve,heart,dogs,kiddingly,Iraq,hasty,Lady Gaga
include,heel,dolls,kindheartedly,Ireland,hateful,Katy Perry
instruct,hip,dollars,kindly,Israel,healthy,Bruno Mars
intend,intestine,doors,knavishly,Italy,heartfelt,Harry Styles
jail,jaw,dragons,knottily,Ivory Coast,infamous,Adam Levine
jam,kidney,dragonflies,knowingly,Jamaica,intelligent,John Legend
jog,knee,drains,knowledgeably,Japan,intent,Justin Bieber
join,kneecap,drawers,kookily,Jordan,irresponsible,Christian Bale
judge,leg,dresses,loftily,Kenya,itchy,Eric Bana
juggle,ligament,ferryboats,longingly,Kiribati,jaded,Alex Band
jump,lip,fields,loosely,Korea North,jagged,Antonio Banderas
kick,liver,fights,lovingly,Korea South,jam-packed,Ike Barinholtz
kill,lung,fingers,loudly,Kosovo,jealous,Ben Barnes
kiss,mandible,fires,loyally,Kuwait,joint,Eugen Bauder
kneel,moustache,fireplaces,madly,Kyrgyzstan,jolly,William Beckett
knit,mouth,fishes,mortally,Laos,joyful,Tyson Beckford
knot,neck,forests,owlishly,Lebanon,obese,Jason Behr
land,nerve,furs,partially,Liberia,oily,Sam Bennett
last,nipple,furniture,patiently,Libya,obvious,Dierks Bentley
laugh,nose,games,perfectly,Mauritania,occasional,Gael Garcia Bernal
man,organ,gardens,playfully,Mexico,offensive,Wilson Bethel
manage,palate,gold,quietly,Micronesia,official,Justin Bieber
mark,pancreas,golfs,quizzically,Monaco,old-fashioned,James Blake
marry,penis,gorillas,rapidly,Mongolia,only,Corbin Bleu
mix,prostate,peppers,rarely,Montenegro,open,Orlando Bloom
name,rectum,rails,reassuringly,Mozambique,optimistic,Asher Book
need,rib,railways,recklessly,"Myanmar, {Burma}",orange,David Boreanaz
nest,scalp,rains,regularly,Namibia,playful,Tom Bott
note,shin,raincoats,repeatedly,Nigeria,pleased,Bow Wow
number,shoulderblade,rakes,restfully,Oman,plump,Adam Brody
obey,sinus,rats,righteously,Pakistan,plush,Chris Brown
observe,skin,rays,rigidly,Panama,polite,Justin Bruening
obtain,skull,shoulders,roughly,Papua New Guinea,political,Austin Butler
pack,sole,shovels,rudely,Paraguay,pointed,Gerard Butler
paddle,spine,shoes,sadly,Peru,precious,Santiago Cabrera
part,stomach,signs,scarily,Portugal,rare,Robert Carmine
pass,temple,signatures,searchingly,Qatar,rash,Chris Carmack
raise,tendon,silks,sedately,Romania,some,Ryan Carnes
realise,thigh,singers,selfishly,Rwanda,sophisticated,Jim Caviezel
receive,thorax,sinks,separately,Saint Vincent & the Grenadines,sore,Henry Cavill
recognise,throat,sisters,seriously,Samoa,sorrowful,John Cena
record,thumb,skins,shakily,South Sudan,soulful,Justin Chambers
sack,toe,skies,sheepishly,SriLanka,spotless,Cesar Chiang
sail,toenail,sleds,shyly,Sudan,spotted,Chingy
satisfy,tongue,slippers,unaccountably,Syria,square,Zachary Chitwood
save,tonsil,smokes,unbearably,Taiwan,squiggly,Hayden Christensen
visit,umbilicalcord,snakes,unexpectedly,Tanzania,stale,Eddie Cibrian
weigh,uterus,sneezes,upliftingly,Thailand,worthwhile,George Clooney
whistle,urethra,snows,violently,Ukraine,worthy,Ben Cohen
wink,uvula,sweatshirts,vivaciously,United Arab Emirates,wrathful,Harry Connick Jr.
wipe,vagina,sweets,voluntarily,United Kingdom,wretched,Dane Cook
wish,vein,swings,warmly,United States,wrong,Anderson Cooper
yawn,waist,yogurts,wonderfully,Uzbekistan,yellow,Geff Bazos
yell,windpipe,zebras,worriedly,Vatican City,yellowish,Chris Cornell
zip,trachea,zippers,wrongly,Venezuela,youthful,Daddy Yankee
zoo,wrist,zoos,yawningly,Vietnam,zealous,"Dwayne ""The Rock"" Johnson"